Tweet ID,Original Tweet,Preprocessed,Reference Translation: Google Translation,Reference Translation: Microsoft Translation,Translated Tweet: M2M-100 model,Translated Tweet: MarianMT model,Created At,Language
1665784597391499265,no me había dado cuenta que ya estamos en Junio,no me habia dado cuenta que ya estamos en junio,I had not realized that we are already in June,I had not realized that we are already in June,I didn't realize we were already in June.,I didn't realize it's already June.,2023-06-05 18:16:11+00:00,es
1654859874113601537,"voy a cambiar mi canción de entrada para la lucha de hoy...

@WWE para que lo sepan","voy a cambiar mi cancion de entrada para la lucha de hoy...
wwe para que lo sepan",I am going to change my entrance song for today's fight ... wwe so you know,"I'm going to change my entrance song for today's fight...
WWE Just Letting You Know",I'm going to change my intro song for today's fight... we just so you know.,I'm going to change my entry song for today's fight... wwe to let them know.,2023-05-06 14:45:14+00:00,es
1654858297709658112,buenos días,buenos dias,good morning,Good morning,Good day.,Good morning.,2023-05-06 14:38:58+00:00,es
1648798904916520961,pizza con piña,pizza con pina,pizza with pina,pizza with pineapple,Pizza with pineapple,pizza with pine,2023-04-19 21:21:06+00:00,es
1648783714552545282,este año solo pondré 10 tweets y con este ya van dos...,este ano solo pondre 10 tweets y con este ya van dos...,This year I will only put 10 tweets and with this there are already two...,This year I will only put 10 tweets and with this one there are already two ...,"This year, I'm only going to post 10 tweets and this one's already two...",This year I'll just put 10 tweets and with this one go two...,2023-04-19 20:20:45+00:00,es
1648780175403024384,que rico tu hueles,que rico tu hueles,how delicious you smell,how rich you smell,How rich you smell,How rich you smell,2023-04-19 20:06:41+00:00,es
1609352384056274944,y empezar el 2023 bien cabrón...,y empezar el 2023 bien cabron...,and start 2023 well bastard...,and start 2023 well bastard...,And start 2023 well fuck...,And start the 2023 well cocksucker...,2023-01-01 00:54:43+00:00,es
1609344824611672064,ya estoy borracho,ya estoy borracho,I'm already drunk,I'm already drunk,I'm already drunk,I'm already drunk.,2023-01-01 00:24:41+00:00,es
1609331119761068032,un coco,un coco,A coconut,a coconut,a coconut,a coconut,2022-12-31 23:30:13+00:00,es
1609298873712787459,hoy 31 el corazón siente doble,hoy 31 el corazon siente doble,today the 31st the heart feels double,Today 31 The heart feels double,Today the heart feels double,today 31 the heart feels double,2022-12-31 21:22:05+00:00,es
