Tweet ID,Original Tweet,Preprocessed,Reference Translation: Google Translation,Reference Translation: Microsoft Translation,Translated Tweet: M2M-100 model,Translated Tweet: MarianMT model,Created At,Language
1673317823542882306,"El Tren Maya es un proyecto de progreso con justicia. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/MRIys6BO6f","el tren maya es un proyecto de progreso con justicia. conferencia de prensa matutina, desde palacio nacional","the mayan train is a project of progress with justice. morning press conference, from the national palace","The Mayan Train is a project of progress with justice. Morning press conference, from the National Palace",The Mayan train is a project of progress with justice.,"the Mayan train is a project of progress with justice. morning press conference, from national palace",2023-06-26 13:10:32+00:00,es
1673099530160726018,"Hoy inauguramos uno más de los caminos artesanales de Oaxaca construidos por la gente. Antes de que termine mi mandato cumpliremos el compromiso de llegar a 222 con 3 mil 117 km y una inversión de 13 mil 810 millones de pesos.

Hay trabajo, bienestar y alegría en el pueblo. https://t.co/vzo2heGGMZ","hoy inauguramos uno mas de los caminos artesanales de oaxaca construidos por la gente. antes de que termine mi mandato cumpliremos el compromiso de llegar a 222 con 3 mil 117 km y una inversion de 13 mil 810 millones de pesos.
hay trabajo, bienestar y alegria en el pueblo.","today we inaugurate one more of the artisan roads of oaxaca built by the people. before the end of my term we will fulfill the commitment to reach 222 with 3 thousand 117 km and an investment of 13 thousand 810 million pesos. There is work, well-being and happiness in the town.","Today we inaugurate one more of the artisan roads of Oaxaca built by the people. Before the end of my term we will fulfill the commitment to reach 222 with 3,117 km and an investment of 13,810 million pesos.
There is work, well-being and joy in the village.","Today we inaugurated another of the people's artisanal oaxaca roads. Before my term ends we will fulfill our commitment to reach 222 with 3,117 km and an investment of 13,810 million pesos.","Today we inaugurate one more of the artisan roads of Oaxaca built by the people. Before the end of my mandate we will fulfill the commitment to reach 222 with 3 thousand 117 km and an investment of 13 thousand 810 million pesos. there is work, well-being and joy in the town.",2023-06-25 22:43:07+00:00,es
1673032516544917504,"Inauguración del camino rural Coatecas Altas - San Juan Lachigalla, Oaxaca https://t.co/iz90bJAwNB","inauguracion del camino rural coatecas altas - san juan lachigalla, oaxaca","inauguration of the rural road coatecas altas - san juan lachigalla, oaxaca","INAUGURATION OF THE RURAL ROAD COATECAS ALTAS - SAN JUAN LACHIGALLA, OAXACA","opening of the high-altitude coatecas - san juan lachigalla, oaxaca rural road","Inauguration of the rural road coatecas altos - san juan lachigalla, oaxaca",2023-06-25 18:16:50+00:00,es
1672779580023914497,"Hoy supervisamos obras en el Istmo y evaluamos el avance de caminos artesanales, así como la construcción de puentes y carreteras. Me acompañaron servidores públicos del gobierno federal, los gobernadores de Oaxaca y Veracruz y la gobernadora de Guerrero. https://t.co/TBVHt9vnpt","hoy supervisamos obras en el istmo y evaluamos el avance de caminos artesanales, asi como la construccion de puentes y carreteras. me acompanaron servidores publicos del gobierno federal, los gobernadores de oaxaca y veracruz y la gobernadora de guerrero.","today we supervise works on the isthmus and evaluate the progress of artisan roads, as well as the construction of bridges and highways. I was accompanied by public servants of the federal government, the governors of Oaxaca and Veracruz, and the governor of Guerrero.","Today we supervise works in the isthmus and evaluate the progress of artisanal roads, as well as the construction of bridges and roads. I was accompanied by public servants of the federal government, the governors of Oaxaca and Veracruz and the governor of Guerrero.","Today we oversaw works on the isthmus and evaluated the progress of artisanal roads, as well as the construction of bridges and roads. I was accompanied by federal government civil servants, the governors of Oaxaca and Veracruz and the governor of Warrior.","Today we supervise works in the isthmus and evaluate the advance of artisanal roads, as well as the construction of bridges and roads. I was accompanied by public servants of the federal government, the governors of Oaxaca and Veracruz and the governor of warrior.",2023-06-25 01:31:45+00:00,es
1672343812759515136,"Por más alarma que difundan, los diablitos del Reforma se quedarán con las ganas de apagones. La buena noticia es que hay capacidad de generación suficiente en la CFE, que además seguirá sin aumentar el precio de la luz. https://t.co/5dLteRqi9N","por mas alarma que difundan, los diablitos del reforma se quedaran con las ganas de apagones. la buena noticia es que hay capacidad de generacion suficiente en la cfe, que ademas seguira sin aumentar el precio de la luz.","No matter how much alarm they spread, the devils of the reform will be left with the desire for blackouts. The good news is that there is sufficient generation capacity in the CFE, which will also continue without increasing the price of electricity.","No matter how much alarm they spread, the little devils of the Reforma will be left with the desire for blackouts. The good news is that there is sufficient generation capacity in the CFE, which will also continue without increasing the price of electricity.","The good news is that there is enough generation capacity in the Cfe, which will also continue without increasing the price of electricity.","the more alarm they spread, the devils of the reform will be left with the desire for blackouts. the good news is that there is sufficient generation capacity in the CFE, which will also continue without increasing the price of light.",2023-06-23 20:40:10+00:00,es
1672229471070609409,"Conferencia de prensa matutina, desde Chiapas https://t.co/x4b6lj6ybK","conferencia de prensa matutina, desde chiapas","morning press conference, from chiapas","Morning press conference, from Chiapas",Morning press conference from Chiapas,"morning press conference, from Chiapas",2023-06-23 13:05:49+00:00,es
1671866620510351360,Se garantiza como nunca la libertad de expresión y el derecho a disentir. Conferencia matutina https://t.co/Gd7BJohhai,se garantiza como nunca la libertad de expresion y el derecho a disentir. conferencia matutina,Freedom of expression and the right to dissent are guaranteed like never before. morning conference,Freedom of expression and the right to dissent are guaranteed as never before. Morning Conference,The European Parliament has also called for the creation of a European Community where the European Union can be a force for good.,freedom of expression and the right to dissent are guaranteed as never before.,2023-06-22 13:03:58+00:00,es
1671507055230976000,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/XIKk9uQa3R","conferencia de prensa matutina, desde palacio nacional","morning press conference, from the national palace","Morning press conference, from the National Palace","Morning press conference, from the national palace","morning press conference, from National Palace",2023-06-21 13:15:11+00:00,es
1671143086775492608,El sistema federalizado de salud garantizará que haya médicos generales y especialistas. Conferencia matutina https://t.co/JkrgjlXTSF,el sistema federalizado de salud garantizara que haya medicos generales y especialistas. conferencia matutina,The federalized health system will guarantee that there are general practitioners and specialists. morning conference,The federalized health system will ensure that there are general practitioners and specialists. Morning Conference,The federal health system would ensure that there are general practitioners and specialists.,the federalized health system will ensure that there are general practitioners and specialists.,2023-06-20 13:08:54+00:00,es
1670781064682573824,El Tren Maya es una obra fundamental que hacemos realidad con presupuesto público para impulsar el desarrollo. Conferencia matutina https://t.co/qpngMeSV8B,el tren maya es una obra fundamental que hacemos realidad con presupuesto publico para impulsar el desarrollo. conferencia matutina,The Mayan train is a fundamental work that we make a reality with a public budget to promote development. morning conference,The Mayan Train is a fundamental work that we make a reality with a public budget to promote development. Morning Conference,The Mayan train is a fundamental project that we are making real with public budget to boost development.,the Mayan train is a fundamental work that we make reality with public budget to boost development.,2023-06-19 13:10:22+00:00,es
1670447958435721216,"Aunque ya sabemos que el amor eterno es a las madres y el amor más entrañable es a los hijos, también los padres son adorables. ¡Felicidades en su día!","aunque ya sabemos que el amor eterno es a las madres y el amor mas entranable es a los hijos, tambien los padres son adorables. !felicidades en su dia!","Although we already know that eternal love is for mothers and the most endearing love is for children, fathers are also adorable. !congratulations on your day!","Although we already know that eternal love is to mothers and the most entravable love is to children, fathers are also adorable. Congratulations on your day!","Although we know that eternal love is for mothers and the most heartfelt love is for children, parents are adorable too.","Although we already know that eternal love is to mothers and love is more entrable to children, also fathers are adorable. Congratulations in their day!",2023-06-18 15:06:43+00:00,es
1669698776129507328,No hay tregua en el combate a la corrupción y a la impunidad. Conferencia matutina https://t.co/M9AgS4NigB,no hay tregua en el combate a la corrupcion y a la impunidad. conferencia matutina,there is no truce in the fight against corruption and impunity. morning conference,There is no truce in the fight against corruption and impunity. Morning Conference,There is no truce in the fight against corruption and impunity.,There is no truce in the fight against corruption and impunity.,2023-06-16 13:29:44+00:00,es
