Tweet ID,Original Tweet,Preprocessed,Reference Translation: Google Translation,Reference Translation: Microsoft Translation,Translated Tweet: M2M-100 model,Translated Tweet: MarianMT model,Created At,Language
1665134989464281095,"Broche final para 2 años que recordaré siempre. Gracias, París. 
¡Y ya van 29! 🏆
The icing on the cake after 2 years I'll always remember. Thank you, Paris. That's number 29! 🏆
Bouquet final de 2 années que je n’oublierai jamais. Merci, Paris. Et de 29 ! 🏆 #AllezParis 🔴🔵 https://t.co/lrQG1hlLtM","broche final para 2 anos que recordare siempre. gracias, paris.
!y ya van 29!
the icing on the cake after 2 years i'll always remember. thank you, paris. that's number 29!
bouquet final de 2 annees que je n'oublierai jamais. merci, paris. et de 29 ! allezparis","spindle final para 2 anos que recordare siempre. thanks, paris. !y ya van 29! the icing on the cake after 2 years i'll always remember. thank you, paris. that's number 29! final bouquet of 2 years that I will never forget. thank you, paris. and 29! go Paris","Final touch for 2 years that I will always remember. Thank you, Paris.
And there are already 29!
the icing on the cake after 2 years i'll always remember. Thank you, Paris. that's number 29!
Bouquet final de 2 annees que je n'oublierai jamais. Merci, Paris. et of 29 ! Allezparis","The icing on the cake after 2 years I will always remember. Thank you, Paris. That's number 29! final bouquet of 2 years that I will never forget. merci, paris. et de 29! allezparis","final brooch for 2 years that I will always remember. thank you, paris.! and now go 29! the going on the cake after 2 years i'll always remember. thank you, paris. that's number 29! final bouquet of 2 annees that je n'oublierai jamais. merci, paris. et de 29! allezparis",2023-06-03 23:14:52+00:00,es
1664728002016452609,"Merci pour ces deux belles années au cours desquelles j'ai pu participer à tous les championnats et donner le meilleur de moi-même. Je vais relever de nouveaux défis, je vais porter d'autres couleurs, mais d'abord, pour la dernière fois : #AllezParis ! ❤️💙 @PSG_inside","merci pour ces deux belles annees au cours desquelles j'ai pu participer a tous les championnats et donner le meilleur de moi-meme. je vais relever de nouveaux defis, je vais porter d'autres couleurs, mais d'abord, pour la derniere fois : allezparis ! psg_inside","thank you for these two great years during which I was able to participate in all the championships and give the best of myself. I'm going to take up new challenges, I'm going to wear other colors, but first, for the last time: go paris! psg_inside","Merci pour ces deux belles annees au cours desquelles j'ai pu participer a tous les championnats et donner le meilleur de moi-meme. je vais relever de nouveaux defis, je vais porter d'autres couleurs, mais d'abord, pour la derniere fois : allezparis ! psg_inside",Thanks for these two beautiful years during which I was able to participate in all the championships and give the best of myself.,"merci pour ces deux belles annees au cours desquelles j'ai pu participate in tous les champagnenats et donner le meilleur de moi-meme. je vais relever de nouveaux defis, je vais porter d'autres couleurs, mais d'abord, pour la derniere fois : allezparis! psg_inside",2023-06-02 20:17:39+00:00,es
1664727914787622919,"Demain c’est un jour spécial, demain je dis au revoir à une autre étape de ma vie, au revoir au @PSG_inside.Je ne sais pas dans combien d'endroits on peut se sentir chez soi mais, sans aucun doute, grâce au PSG, à ses supporters et à la ville,Paris est pour moi un de ces endroits","demain c'est un jour special, demain je dis au revoir a une autre etape de ma vie, au revoir au psg_inside.je ne sais pas dans combien d'endroits on peut se sentir chez soi mais, sans aucun doute, grace au psg, a ses supporters et a la ville,paris est pour moi un de ces endroits","tomorrow is a special day, tomorrow i say goodbye to another stage of my life, goodbye to psg_inside. i don't know how many places you can feel at home but, without a doubt, thanks to psg , to its supporters and to the city, Paris is for me one of those places","Demain c'est un jour special, demain je dis au revoir a une autre etape de ma vie, au revoir au psg_inside.je ne sais pas dans combien d'endroits on peut se sentir chez soi mais, sans aucun doute, grace au psg, a ses supporters et a la ville,paris est pour moi un de ces endroits","Tomorrow is a special day, tomorrow I say au revoir to another stage of my life, au revoir au psg_inside.I don't know in how many places you can feel at home but, without any doubt, grace to psg, to its supporters and to the city, Paris is for me one of those places","demain c'est un jour special, demain je dis au revoir a une autre etape de ma vie, au revoir au psg_inside.je ne sais pas dans comien d'endroits on peut se felt chez soi mais, sans aucun doute, grace au psg, a ses supporters et a la ville,paris est pour moi un de ces endroits",2023-06-02 20:17:18+00:00,es
1664727481205522437,"Thank you for two special years in which I was able play in every tournament and give my all. I will face new challenges, I will wear other colours, but first, and for the last time: ¡#AllezParis! ❤💙 @PSG_English","thank you for two special years in which i was able play in every tournament and give my all. i will face new challenges, i will wear other colours, but first, and for the last time: !allezparis! psg_english","thank you for two special years in which i was able play in every tournament and give my all. i will face new challenges, i will wear other colours, but first, and for the last time: !allezparis! psg_english","thank you for two special years in which i was able play in every tournament and give my all. I will face new challenges, I will wear other colours, but first, and for the last time: !allezparis! psg_english","Thank you for two special years in which I was able to play in every tournament and give my all. I will face new challenges, I will wear other colors, but first, and for the last time:!allezparis! psg_English","thank you for two special years in which i was able play in every tournament and give my all. i will face new challenges, i will wear other colors, but first, and for the last time: allezparis! psg_english",2023-06-02 20:15:35+00:00,es
1664727356433395714,"Tomorrow is a special day, tomorrow I will say goodbye to another stage of my life, goodbye to @PSG_inside. I don’t know in how many places one can feel at home, but without a doubt PSG, the fans, and Paris were one of them for me.","tomorrow is a special day, tomorrow i will say goodbye to another stage of my life, goodbye to psg_inside. i don't know in how many places one can feel at home, but without a doubt psg, the fans, and paris were one of them for me.","tomorrow is a special day, tomorrow i will say goodbye to another stage of my life, goodbye to psg_inside. i don't know in how many places one can feel at home, but without a doubt psg, the fans, and paris were one of them for me.","tomorrow is a special day, tomorrow I will say goodbye to another stage of my life, goodbye to psg_inside. I don't know in how many places one can feel at home, but without a doubt psg, the fans, and paris were one of them for me.","Tomorrow is a special day, tomorrow I will say goodbye to another stage of my life, goodbye to psg_inside. I don't know in how many places one can feel at home, but without a doubt psg, the fans, and paris were one of them for me.","Tomorrow is a special day, tomorrow i will say goodbye to another stage of my life, goodbye to psg_inside. i don't know in how many places one can feel at home, but without a doubt psg, the fans, and paris were one of them for me.",2023-06-02 20:15:05+00:00,es
1664727237021540357,"Gracias por dos años especiales en los que he podido jugar todos los torneos y he podido dar mi mejor nivel. Afrontaré nuevos retos, luciré otros colores, pero antes, por última vez: ¡#AllezParis! ❤️💙 @PSG_espanol","gracias por dos anos especiales en los que he podido jugar todos los torneos y he podido dar mi mejor nivel. afrontare nuevos retos, lucire otros colores, pero antes, por ultima vez: !allezparis! psg_espanol","Thank you for two special years in which I have been able to play all the tournaments and I have been able to give my best level. I will face new challenges, I will wear other colors, but first, for the last time: allezparis! psg_espanol","Thank you for two special years in which I have been able to play all the tournaments and I have been able to give my best level. I will face new challenges, I will wear other colors, but first, for the last time: Allezparis! psg_espanol","Thanks for two special years in which I have been able to play all the tournaments and I have been able to give my best. I have faced new challenges, I have looked different colors, but before, for the last time:!allezparis! psg_espanol","thanks for two special years in which I have been able to play all the tournaments and have been able to give my best level.I will face new challenges, I will wear other colors, but first, for the last time:!allezparis! psg_spanol",2023-06-02 20:14:37+00:00,es
1664727105869848579,"Mañana será un día especial, mañana diré adiós a otra etapa de mi vida, adiós al @PSG_espanol.
No sé en cuántos lugares uno puede sentirse como en casa pero, sin duda, el PSG, su afición y París han sido uno de ellos para mí. https://t.co/961LqCYvQc","manana sera un dia especial, manana dire adios a otra etapa de mi vida, adios al psg_espanol.
no se en cuantos lugares uno puede sentirse como en casa pero, sin duda, el psg, su aficion y paris han sido uno de ellos para mi.","Tomorrow will be a special day, tomorrow I will say goodbye to another stage of my life, goodbye to PSG_Espanol. I don't know how many places one can feel at home but, without a doubt, PSG, its fans and Paris have been one of them for me.","Manana will be a special day, Manana will say goodbye to another stage of my life, goodbye to psg_espanol.
I don't know how many places you can feel at home but, without a doubt, PSG, their fans and Paris have been one of them for me.","manana will be a special day, manana say goodbye to another stage of my life, goodbye to psg_espanol. I don't know how many places one can feel at home but, without a doubt, the psg, his hobby and paris have been one of them for me.","Tomorrow will be a special day, tomorrow I will say goodbye to another stage of my life, goodbye to psg_spanol.I don't know how many places one can feel at home but, undoubtedly, the psg, his hobby and paris have been one of them for me.",2023-06-02 20:14:05+00:00,es
1664031800870445057,"Increíble mi Sevilla… ¡¡Ya van siete!!
Enhorabuena por seguir haciendo historia, @SevillaFC ¡Os lo merecéis! 💪🏻 https://t.co/fyOiTALLLd","increible mi sevilla... !!ya van siete!!
enhorabuena por seguir haciendo historia, sevillafc !os lo mereceis!","my sevilla is incredible... there are already seven! Congratulations on continuing to make history, sevillafc! You deserve it!","incredible my sevilla... !! there are seven!
Congratulations on continuing to make history, SevillaFC you deserve it!","Amazing my Seville...!!now they are seven!! congratulations on making history, you deserve it!","I can't believe my sevilla...!! seven!! Congratulations for continuing to make history, sevillafc!",2023-05-31 22:11:12+00:00,es
1662588088680415238,Champions ! 🏆 Fier du travail et des efforts fournis par toute l’équipe. Très heureux de pouvoir fêter un nouveau titre… 29 déjà 🍳😜. C’est pour vous les fans ! #IciCestParis 🔴🔵 @PSG_inside,champions ! fier du travail et des efforts fournis par toute l'equipe. tres heureux de pouvoir feter un nouveau titre... 29 deja . c'est pour vous les fans ! icicestparis psg_inside,champions! proud of the work and efforts of the whole team. very happy to be able to celebrate a new title... 29 already. this is for you fans! icicestparis psg_inside,Champions ! Fier du travail et des efforts fournis par toute l'equipe. Tres heureux de pouvoir feter un nouveau titre... 29 leaves . c'est pour vous les fans ! icicestparis psg_inside,The European Parliament has also adopted a resolution on the need for a European Parliament to be able to take action to ensure that the European Parliament and the Council are able to take action in the field of social protection.,champions! fier du travail et des effforts fournis par toute l'equipe. three heureux de pouvoir feter un nouveau titre... 29 leaves. c'est pour vous les fans! icicestparis psg_inside,2023-05-27 22:34:24+00:00,es
1662588023618383873,"Champions! 🏆 Proud of the whole team for all the hard work and effort. So pleased to be able to enjoy another title… That’s number 29 🍳😜 This one’s for you, the fans! @PSG_English","champions! proud of the whole team for all the hard work and effort. so pleased to be able to enjoy another title... that's number 29 this one's for you, the fans! psg_english","champions! proud of the whole team for all the hard work and effort. so pleased to be able to enjoy another title... that's number 29 this one's for you, the fans! psg_english","Champions! proud of the whole team for all the hard work and effort. so pleased to be able to enjoy another title... that's number 29 this one's for you, the fans! psg_english","champions! proud of the whole team for all the hard work and effort. so pleased to be able to enjoy another title... that's number 29 this one's for you, the fans! psg_English","champions! proud of the whole team for all the hard work and efffort. so pleased to be able to enjoy another title... that's number 29 this one's for you, the fans! psg_english",2023-05-27 22:34:08+00:00,es
